date,confirmed_num,cured_num,dead_num
2020-01-24,830,34,25
2020-01-25,1287,38,41
2020-01-26,1975,49,56
2020-01-27,2744,51,80
2020-01-28,4515,60,106
2020-01-29,5974,103,132
2020-01-30,7711,124,170
2020-01-31,9692,171,213
2020-02-01,11791,259,243
2020-02-02,14380,328,304
2020-02-03,17205,475,361
2020-02-04,20438,632,425
2020-02-05,24324,892,490
2020-02-06,28018,1153,563
2020-02-07,31161,1540,636
2020-02-08,34546,2050,722
2020-02-09,37198,2649,811
2020-02-10,40171,3281,908
2020-02-11,42638,3996,1016
2020-02-12,44653,4740,1113
2020-02-13,59804,5911,1367
2020-02-14,63851,6723,1380
2020-02-15,66492,8096,1523
2020-02-16,68500,9419,1665
2020-02-17,70548,10844,1770
2020-02-18,72436,12552,1868
2020-02-19,74185,14376,2004
2020-02-20,74576,16155,2118
2020-02-21,75465,18264,2236
2020-02-22,76288,20659,2345
2020-02-23,76936,22888,2442
2020-02-24,77150,24734,2592
2020-02-25,77658,27323,2663
2020-02-26,78064,29745,2715
2020-02-27,78497,32495,2744
2020-02-28,78824,36117,2788
2020-02-29,79251,39002,2835
2020-03-01,79824,41625,2870
2020-03-02,80026,44462,2912
2020-03-03,80151,47204,2943
2020-03-04,80270,49856,2981
2020-03-05,80409,52045,3012
2020-03-06,80552,53726,3042
2020-03-07,80651,55404,3070
2020-03-08,80695,57065,3097
2020-03-09,80735,58600,3119
2020-03-10,80754,59897,3136
2020-03-11,80778,61475,3158
2020-03-12,80793,62793,3169
2020-03-13,80813,64111,3176
2020-03-14,80824,65541,3189
2020-03-15,80844,66911,3199
2020-03-16,80860,67749,3213
2020-03-17,80881,68679,3226
2020-03-18,80894,69601,3237
2020-03-19,80928,70420,3245
2020-03-20,80967,71150,3248
2020-03-21,81008,71740,3255
2020-03-22,81054,72244,3261
